Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Range_km,Efficiency_Wh_km,TopSpeed_kmh,Accel_sec,Cost_per_100km_EUR,Efficiency_Rating,Range_Category,Annual_Savings_EUR,Value_Score
Peugeot e-Traveller Standard 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€57,440",,270.0,252.0,130.0,13.3,7.56,Poor,Medium (200-300km),820.8,10.71
Peugeot e-Traveller Long 75 kWh,Battery Electric Vehicle |       68 kWh,13.3 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€58,230",,270.0,252.0,130.0,13.3,7.56,Poor,Medium (200-300km),820.8,10.71
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,365 km,237 Wh/km,590 km/h,All Wheel Drive,5,"€81,500",,365.0,237.0,200.0,5.7,7.11,Average,Long (300-400km),874.8,15.4
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5,"€83,750",,375.0,231.0,200.0,5.7,6.93,Average,Long (300-400km),896.4,16.23
Seres 3,Battery Electric Vehicle |       52 kWh,8.9 sec,155 km/h,270 km,193 Wh/km,390 km/h,Front Wheel Drive,5,,,270.0,193.0,155.0,8.9,5.79,Good,Medium (200-300km),1033.2,13.99
Hyundai IONIQ 5 Project 45,Battery Electric Vehicle |       72.6 kWh,5.2 sec,185 km/h,370 km,196 Wh/km,860 km/h,All Wheel Drive,5,"€59,550","£48,000",370.0,196.0,185.0,5.2,5.88,Good,Long (300-400km),1022.4,18.88
Porsche Taycan,Battery Electric Vehicle |       71 kWh,5.4 sec,230 km/h,395 km,180 Wh/km,790 km/h,Rear Wheel Drive,4,"€83,520","£70,690",395.0,180.0,230.0,5.4,5.4,Good,Long (300-400km),1080.0,21.94
Porsche Taycan Plus,Battery Electric Vehicle |       83.7 kWh,5.4 sec,230 km/h,460 km,182 Wh/km,960 km/h,Rear Wheel Drive,4,"€89,244","£74,739",460.0,182.0,230.0,5.4,5.46,Good,Ultra-Long (>400km),1072.8,25.27
Tesla Model S Long Range,Battery Electric Vehicle |       90 kWh,3.2 sec,250 km/h,555 km,162 Wh/km,830 km/h,All Wheel Drive,5,"€86,990","£83,980",555.0,162.0,250.0,3.2,4.86,Good,Ultra-Long (>400km),1144.8,34.26
Tesla Model S Plaid,Battery Electric Vehicle |       90 kWh,2.1 sec,322 km/h,535 km,168 Wh/km,800 km/h,All Wheel Drive,5,"€126,990","£118,980",535.0,168.0,322.0,2.1,5.04,Good,Ultra-Long (>400km),1123.2,31.85
Tesla Model X Long Range,Battery Electric Vehicle |       90 kWh,3.9 sec,250 km/h,475 km,189 Wh/km,710 km/h,All Wheel Drive,7,"€95,990","£90,980",475.0,189.0,250.0,3.9,5.67,Good,Ultra-Long (>400km),1047.6,25.13
Tesla Model X Plaid,Battery Electric Vehicle |       90 kWh,2.6 sec,262 km/h,455 km,198 Wh/km,680 km/h,All Wheel Drive,7,"€116,990","£110,980",455.0,198.0,262.0,2.6,5.94,Good,Ultra-Long (>400km),1015.2,22.98
Mini Cooper SE,Battery Electric Vehicle |       28.9 kWh,7.3 sec,150 km/h,185 km,156 Wh/km,260 km/h,Front Wheel Drive,4,"€32,500","£26,000",185.0,156.0,150.0,7.3,4.68,Good,Short (<200km),1166.4,11.86
JAC iEV7s,Battery Electric Vehicle |       39 kWh,12.0 sec,132 km/h,225 km,173 Wh/km,160 km/h,Front Wheel Drive,5,,,225.0,173.0,132.0,12.0,5.19,Good,Medium (200-300km),1105.2,13.01
Volkswagen ID.4 Pure Performance,Battery Electric Vehicle |       52 kWh,9.0 sec,160 km/h,285 km,182 Wh/km,410 km/h,Rear Wheel Drive,5,"€38,450","£36,030",285.0,182.0,160.0,9.0,5.46,Good,Medium (200-300km),1072.8,15.66
